STOCK,TYPE,CATEGORY,YEAR,MANUFACTURER,MODEL,TITLE,CONDITION,PRICE,LOCATION,msrp,Dealer to Dealer,VIN,Description,Length,Width,Height,Weight,GVWR,Axle Capacity,axles,pull type,construction ,ramps,lq,shortwall length,roof type,nose type,color,is rental,STALLS,MANGER,MIDTACK,sleeps,slideouts,air conditioning,MILEAGE,FUEL TYPE,status,website visible,unit cost,shipping cost,prep cost,total cost,min sell price,notes,IS FEATURED,ON SPECIAL,Image
777532,Trailer ,Utility Trailer ,2022,Currahee Trailers,L510,L510 Single Axle Landscape 5x10,N,1699.99,,1699.99,1699.99,REQUIRED,L510 Single Axle Landscape 5x10,,,,,,,,,,,,,,,,True,,,,,,,,,Avail,False,1421.46,0.00,0.00,1421.46,,,,,
753268,Trailer ,Utility Trailer ,2022,Currahee Trailers,L510,L510 Single Axle Landscape 5x10,N,1699.99,,1699.99,1699.99,REQUIRED,L510 Single Axle Landscape 5x10,,,,,,,,,,,,,,,,True,,,,,,,,,Avail,False,1421.46,0.00,0.00,1421.46,,,,,
987326,Trailer ,Utility Trailer ,2022,Currahee Trailers,L510,L510 Single Axle Landscape 5x10,N,1699.99,,1699.99,1699.99,REQUIRED,L510 Single Axle Landscape 5x10,,,,,,,,,,,,,,,,True,,,,,,,,,Avail,False,1421.46,0.00,0.00,1421.46,,,,,
6434228,Trailer ,Utility Trailer ,2022,Currahee Trailers,L508.13 ,L508.13 Light Duty Landscape 5x8,N,1449.99,,1449.99,1449.99,REQUIRED,,,,,,,,,,,,,,,,,True,,,,,,,,,Avail,False,1190.76,0.00,0.00,1190.76,,,,,
764377,Trailer ,Utility Trailer ,2022,Currahee Trailers,L612,Single Axle Landscape 6x12,N,1999.99,,1999.99,1999.99,REQUIRED,Single Axle Landscape 6x12,,,,,,,,,,,,,,,,True,,,,,,,,,Avail,False,1629.17,0.00,0.00,1629.17,,,,,
4784422,Trailer ,Utility Trailer ,2022,Currahee Trailers,L612,Single Axle Landscape 6x12,N,1999.99,,1999.99,1999.99,REQUIRED,Single Axle Landscape 6x12,,,,,,,,,,,,,,,,True,,,,,,,,,Avail,False,1629.17,0.00,0.00,1629.17,,,,,
886537,Trailer ,Utility Trailer ,2022,Currahee Trailers,L612,Single Axle Landscape 6x12,N,1999.99,,1999.99,1999.99,REQUIRED,Single Axle Landscape 6x12,,,,,,,,,,,,,,,,True,,,,,,,,,Avail,False,1629.17,0.00,0.00,1629.17,,,,,
876424,Trailer ,Utility Trailer ,2022,Currahee Trailers,L612,Single Axle Landscape 6x12,N,1999.99,,1999.99,1999.99,REQUIRED,Single Axle Landscape 6x12,,,,,,,,,,,,,,,,True,,,,,,,,,Avail,False,1629.17,0.00,0.00,1629.17,,,,,
76532789,Trailer ,Utility Trailer ,2022,Currahee Trailers,L612,Single Axle Landscape 6x12,N,1999.99,,1999.99,1999.99,REQUIRED,Single Axle Landscape 6x12,,,,,,,,,,,,,,,,True,,,,,,,,,Avail,False,1629.17,0.00,0.00,1629.17,,,,,
8543278,Trailer ,Utility Trailer ,2022,Currahee Trailers,L612,Single Axle Landscape 6x12,N,1999.99,,1999.99,1999.99,REQUIRED,Single Axle Landscape 6x12,,,,,,,,,,,,,,,,True,,,,,,,,,Avail,False,1629.17,0.00,0.00,1629.17,,,,,
876432,Trailer ,Utility Trailer ,2022,Currahee Trailers,L612,Single Axle Landscape 6x12,N,1999.99,,1999.99,1999.99,REQUIRED,Single Axle Landscape 6x12,,,,,,,,,,,,,,,,True,,,,,,,,,Avail,False,1629.17,0.00,0.00,1629.17,,,,,
568432,Trailer ,Utility Trailer ,2022,Currahee Trailers,L612,Single Axle Landscape 6x12,N,1999.99,,1999.99,1999.99,REQUIRED,Single Axle Landscape 6x12,,,,,,,,,,,,,,,,True,,,,,,,,,Avail,False,1629.17,0.00,0.00,1629.17,,,,,
4552441,Trailer ,Utility Trailer ,2022,"Big Tex Trailer Manufacturing, Inc.",35SA-12BK4RG,35SA 77X12 SA UTILITY TRAILER W/RG & SPMT,N,2799.99,,2799.99,2799.99,REQUIRED,35SA 77X12 SA UTILITY TRAILER W/RG & SPMT,,,,,,,,,,,,,,,,True,,,,,,,,,Avail,False,2039.51,0.00,0.00,2039.51,,,,,
4722147,Trailer ,Utility Trailer ,2022,"Big Tex Trailer Manufacturing, Inc.",35SA-12BK4RG,35SA 77X12 SA UTILITY TRAILER W/RG & SPMT,N,2799.99,,2799.99,2799.99,REQUIRED,35SA 77X12 SA UTILITY TRAILER W/RG & SPMT,,,,,,,,,,,,,,,,True,,,,,,,,,Avail,False,2039.51,0.00,0.00,2039.51,,,,,
4577251,Trailer ,Utility Trailer ,2022,"Big Tex Trailer Manufacturing, Inc.",35SA-12BK4RG,35SA 77X12 SA UTILITY TRAILER W/RG & SPMT,N,2799.99,,2799.99,2799.99,REQUIRED,35SA 77X12 SA UTILITY TRAILER W/RG & SPMT,,,,,,,,,,,,,,,,True,,,,,,,,,Avail,False,2039.51,0.00,0.00,2039.51,,,,,
782144,Trailer ,Utility Trailer ,2022,"Big Tex Trailer Manufacturing, Inc.",35SA-12BK4RG,35SA 77X12 SA UTILITY TRAILER W/RG & SPMT,N,2799.99,,2799.99,2799.99,REQUIRED,35SA 77X12 SA UTILITY TRAILER W/RG & SPMT,,,,,,,,,,,,,,,,True,,,,,,,,,Avail,False,2039.51,0.00,0.00,2039.51,,,,,
