"stock #","on website & classifieds","category","status","year","manufacturer","model","brand","title","price","sales price","website only price","hidden price","msrp","vin#","condition","location country","location region","location city","location postal code","location_phone","description","length","width","height","weight (lbs)","gvwr (lbs)","axle capacity (lbs)","payload capacity (lbs)","overall length","min width","min height","axles","subttile","sleeping capacity","slideouts","pull type","construction","is tilt","ramps","living quarters","conversion company","side wall height","custom conversion company","roof type","nose type","color","is rental","weekly rate","daily rate","monthly rate","admin-unit cost","admin-shipping cost","admin-prep cost","admin-total cost","admin-min sell price","admin-notes","is on special","is featured","created at date","append images on import","number of images","images"
"2695","Yes","trailer.dump","Available","2022","TUFFDUMP","TD14HS","","2022 TUFFDUMP TD14HS Dump Trailer","$11999.99","$0.00","$0.00","$0.00","$0.00","7NDTBDT22PM000096","New","US","GA","Macon","31210","4784770972","TD14HS 7X14 14K DUMP TRAILER- 4FT SIDE","168.00 in","84.00 in","","","14000.00","7000.00","","","","","","","","","","","","","","","","","","","","Yes","","","","","","","9580.62","","","No","No","2023-01-11T14:43:45-06:00","0","7","http://dealer-cdn.com/Gn4bHi/0bJQVU/2024_TUFFDUMP_TD14HS_7X14_HIGH_SIDE_Dump_Trailer_ElgRqS_overlay_1675055904.jpg,http://dealer-cdn.com/Gn4bHi/0bJQVU/2024_TUFFDUMP_TD14HS_7X14_HIGH_SIDE_Dump_Trailer_08Eq4e_overlay_1675055906.jpg,http://dealer-cdn.com/Gn4bHi/0bJQVU/2024_TUFFDUMP_TD14HS_7X14_HIGH_SIDE_Dump_Trailer_xzqOJs_overlay_1675055908.jpg,http://dealer-cdn.com/Gn4bHi/0bJQVU/2024_TUFFDUMP_TD14HS_7X14_HIGH_SIDE_Dump_Trailer_1S3xEe_overlay_1675055910.jpg,http://dealer-cdn.com/Gn4bHi/0bJQVU/2024_TUFFDUMP_TD14HS_7X14_HIGH_SIDE_Dump_Trailer_aJZBwm_overlay_1675055912.jpg,http://dealer-cdn.com/Gn4bHi/0bJQVU/2024_TUFFDUMP_TD14HS_7X14_HIGH_SIDE_Dump_Trailer_5iqrmC_overlay_1675055914.jpg,http://dealer-cdn.com/Gn4bHi/0bJQVU/2024_TUFFDUMP_TD14HS_7X14_HIGH_SIDE_Dump_Trailer_ndBh5c_overlay_1675055917.jpg"
"2424","Yes","trailer.cargo_enclosed","Available","2022","Arising","7X14 TA ENCLOSED- BLACK","","2022 Arising 7X14 TA ENCLOSED- BLACK Cargo / Enclosed Trailer","$6999.99","$0.00","$0.00","$0.00","$0.00","5YCBE1423PH001128","New","US","GA","Macon","31210","4784770972","7X14 TA ENCLOSED- BLACK\n-4 D- Rings in floor \n-6 added height (6'6) \n-12 extended tongue\n-Rear ramp flap","168.00 in","84.00 in","","2100.00","9990.00","","7890","","","","","","","","","","","","","","","","","","Black","Yes","","","","","","","5597.26","","","No","No","2023-01-13T10:48:42-06:00","0","3","http://dealer-cdn.com/Gn4bHi/z9Rdrs/2023_Arising_7x14_Cargo__Enclosed_Trailer_ZgIku8_overlay_1675055952.jpg,http://dealer-cdn.com/Gn4bHi/z9Rdrs/2023_Arising_7x14_Cargo__Enclosed_Trailer_0crMOW_overlay_1675055954.jpg,http://dealer-cdn.com/Gn4bHi/z9Rdrs/2023_Arising_7x14_Cargo__Enclosed_Trailer_hWggGe_overlay_1675055956.jpg"
"2425","Yes","trailer.cargo_enclosed","Available","2022","Arising","7X16 TA ENCLOSED BLACK W/ *BLACK OUT PACKAGE*","","2022 Arising 7X16 TA ENCLOSED BLACK W/ *BLACK OUT PACKAGE* Cargo / Enclosed Trailer","$7799.99","$0.00","$0.00","$0.00","$0.00","5YCBE1623PH001126","New","US","GA","Macon","31210","4784770972","7X16 TA ENCLOSED BLACK W/ *BLACK OUT PACKAGE*\n-Blackout package \n-4 D- Rings in floor \n-6 added height (6'6) \n-12 extended tongue\n-Rear ramp flap","192.00 in","84.00 in","","4710.00","7000.00","","2290","","","","","","","","","","","","","","","","","","Black","Yes","","","","","","","6195.03","","","No","No","2023-01-13T11:10:31-06:00","0","5","http://dealer-cdn.com/Gn4bHi/ommwvg/2023_Arising_7x16_Black_Out_Cargo__Enclosed_Trailer_sTQrnE_overlay_1675055959.jpg,http://dealer-cdn.com/Gn4bHi/ommwvg/2023_Arising_7x16_Black_Out_Cargo__Enclosed_Trailer_cu2SSO_overlay_1675055961.jpg,http://dealer-cdn.com/Gn4bHi/ommwvg/2023_Arising_7x16_Black_Out_Cargo__Enclosed_Trailer_IujiIS_overlay_1675055963.jpg,http://dealer-cdn.com/Gn4bHi/ommwvg/2023_Arising_7x16_Black_Out_Cargo__Enclosed_Trailer_SVdmKm_overlay_1675055965.jpg,http://dealer-cdn.com/Gn4bHi/ommwvg/2023_Arising_7x16_Black_Out_Cargo__Enclosed_Trailer_FoeTZI_overlay_1675055967.jpg"
"2670","Yes","trailer.car_racing","Available","2022","Currahee","C718DPF","Other","2022 Currahee C718DPF Car / Racing Trailer","$5399.99","$0.00","$0.00","$0.00","$0.00","64546","New","US","GA","Macon","31210","4784770972","C718DPF 82X18 METAL FLOOR CAR HAULER","216.00 in","82.00 in","","2000.00","7000.00","3500.00","5000","","","","","","","","","","","","","","","","","","","Yes","","","","","","","4289.42","","","No","No","2023-01-20T11:35:15-06:00","0","0",""
"2680","Yes","trailer.utility","Available","2022","Currahee","LD616SG","","2022 Currahee LD616SG Utility Trailer","$4299.99","$0.00","$0.00","$0.00","$0.00","64547","New","US","GA","Macon","31210","4784770972","L616SG 76X16' TA UTILITY TRAILER W/ SIDE GATE","192.00 in","76.00 in","","1620.00","7000.00","3500.00","5380","","","","","","","","","","","","","","","","","","","Yes","","","","","","","3285.49","","","No","No","2023-01-20T13:05:49-06:00","0","4","http://dealer-cdn.com/Gn4bHi/7CakAy/2023_Currahee_LD616SG_76x16_Utility_Trailer_with_Side_Gate_PQLFvU_overlay_1675055978.jpg,http://dealer-cdn.com/Gn4bHi/7CakAy/2023_Currahee_LD616SG_76x16_Utility_Trailer_with_Side_Gate_vlZils_overlay_1675055981.jpg,http://dealer-cdn.com/Gn4bHi/7CakAy/2023_Currahee_LD616SG_76x16_Utility_Trailer_with_Side_Gate_5z6zjc_overlay_1675055983.jpg,http://dealer-cdn.com/Gn4bHi/7CakAy/2023_Currahee_LD616SG_76x16_Utility_Trailer_with_Side_Gate_1KRlb6_overlay_1675055985.jpg"
"2411","Yes","trailer.flatbed","Available","2022","Big Tex Trailers","14GN-20BK 5MR","Other","2022 Big Tex Trailers 14GN-20BK 5MR Flatbed Trailer","$13299.99","$0.00","$0.00","$0.00","$0.00","16V3F3327P6277878","New","US","GA","Macon","31210","4784770972","14GN 102X20 5 G/N TRAILER 7K AXLES","240.00 in","102.00 in","","4780.00","15900.00","7000.00","11120","","","","","","","","","","","","","","","","","","","Yes","","","","","","","10325.91","","","No","Yes","2023-01-24T10:37:47-06:00","0","3","http://dealer-cdn.com/Gn4bHi/iQa5lg/2023_Big_Tex_Trailers_14GN-205__Flatbed_Goose_Neck_Trailer_GkxY5w_overlay_1675055992.jpg,http://dealer-cdn.com/Gn4bHi/iQa5lg/2023_Big_Tex_Trailers_14GN-205__Flatbed_Goose_Neck_Trailer_sgo26q_overlay_1675055994.jpg,http://dealer-cdn.com/Gn4bHi/iQa5lg/2023_Big_Tex_Trailers_14GN-205__Flatbed_Goose_Neck_Trailer_rUMNw8_overlay_1675055996.jpg"
"2414","Yes","trailer.flatbed","Available","2022","Big Tex Trailers","22GN-40D5A-MRBK (35 5)","Other","2022 Big Tex Trailers 22GN-40D5A-MRBK (35 5) Flatbed Trailer","$19999.99","$0.00","$0.00","$0.00","$0.00","16V3F4822P6277947","New","US","GA","Macon","31210","4784770972","22GN 102X35 5 GN TRAILER 10K AXLES","420.00 in","102.00 in","","7950.00","23900.00","10000.00","15950","","","","","","","","","","","","","","","","","","","Yes","","","","","","","17278.01","","","No","No","2023-01-24T10:43:24-06:00","0","4","http://dealer-cdn.com/Gn4bHi/HI5KfA/2023_Big_Tex_Trailers_22GN-355_Flatbed_Goose_Neck_Trailer_b2pPe4_overlay_1675056012.jpg,http://dealer-cdn.com/Gn4bHi/HI5KfA/2023_Big_Tex_Trailers_22GN-355_Flatbed_Goose_Neck_Trailer_R9gUVc_overlay_1675056014.jpg,http://dealer-cdn.com/Gn4bHi/HI5KfA/2023_Big_Tex_Trailers_22GN-355_Flatbed_Goose_Neck_Trailer_CTQ9Ds_overlay_1675056016.jpg,http://dealer-cdn.com/Gn4bHi/HI5KfA/2023_Big_Tex_Trailers_22GN-355_Flatbed_Goose_Neck_Trailer_AGSyXo_overlay_1675056024.jpg"
"2426","Yes","trailer.cargo_enclosed","Available","2022","Arising","6X12 SA ENCLOSED TRAILER- BLACK","","2022 Arising 6X12 SA ENCLOSED TRAILER- BLACK Cargo / Enclosed Trailer","$4899.99","$0.00","$0.00","$0.00","$0.00","5YCBE1212PH001129","New","US","GA","Macon","31210","4784770972","6X12 SA ENCLOSED TRAILER- BLACK \n- 4 D- Rings in floor \n- 6 added height (6'6)\n- 12 extended tongue","144.00 in","72.00 in","","1220.00","2990.00","2990.00","1770","","","","","","","","","","","","","","","","","","","Yes","","","","","","","3820.00","","","No","No","2023-01-24T11:00:36-06:00","0","4","http://dealer-cdn.com/Gn4bHi/deXQDA/2022_Arising_6x12_Cargo__Enclosed_Trailer_6e9BQG_overlay_1675056026.jpg,http://dealer-cdn.com/Gn4bHi/deXQDA/2022_Arising_6x12_Cargo__Enclosed_Trailer_Zv2Oxs_overlay_1675056028.jpg,http://dealer-cdn.com/Gn4bHi/deXQDA/2022_Arising_6x12_Cargo__Enclosed_Trailer_u961uC_overlay_1675056030.jpg,http://dealer-cdn.com/Gn4bHi/deXQDA/2022_Arising_6x12_Cargo__Enclosed_Trailer_T0bGdM_overlay_1675056032.jpg"
"777532","Yes","trailer.utility","Available","2022","Currahee","L510","","2022 Currahee L510 Utility Trailer","$1699.99","$0.00","$0.00","$0.00","$0.00","REQUIRED","New","US","GA","Macon","31210","4784770972","L510 Single Axle Landscape 5x10","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","","","","","","","1421.46","","","No","No","2023-05-16T13:21:08-05:00","0","0",""
"753268","Yes","trailer.utility","Available","2022","Currahee","L510","","2022 Currahee L510 Utility Trailer","$1699.99","$0.00","$0.00","$0.00","$0.00","REQUIRED","New","US","GA","Macon","31210","4784770972","L510 Single Axle Landscape 5x10","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","","","","","","","1421.46","","","No","No","2023-05-16T13:21:09-05:00","0","0",""
