"stock #","on website & classifieds","category","status","year","manufacturer","model","brand","title","price","sales price","website only price","hidden price","msrp","vin#","condition","location country","location region","location city","location postal code","location_phone","description","length","width","height","weight (lbs)","gvwr (lbs)","axle capacity (lbs)","payload capacity (lbs)","overall length","min width","min height","axles","subttile","sleeping capacity","slideouts","pull type","construction","is tilt","ramps","living quarters","conversion company","side wall height","custom conversion company","roof type","nose type","color","is rental","weekly rate","daily rate","monthly rate","external link","shortwall length","stalls","manger","configuration","midtack","admin-unit cost","admin-shipping cost","admin-prep cost","admin-total cost","admin-min sell price","admin-notes","is on special","is featured","created at date","append images on import","number of images","images"
"TB25875","Yes","trailer.utility","Available","2023","Big Tex Trailers","60PI-14BK4RG2B","","2023 Big Tex Trailers 60PI-14BK4RG2B Utility Trailer","$4750.00","$0.00","$0.00","$0.00","$5081.63","16V1U1728P2244620","New","US","CO","Parker","80134","3038414910","60PI TANDEM AXLE PIPE TOP UTILITY TRAILER<br/> MADE IN THE U.S.A.<BR/> STANDARD FEATURES<BR/> The 60PI Tandem Axle Pipe Top Utility Trailer from Big Tex is perfect for hauling light equipment. Optional slide-in ramps allow for easy loading and unloading of equipment.<BR/> 2 COUPLER<br/> 2000# TOP WIND SET-BACK JACK (BOLTED ON)<br/> REMOVABLE SAND FOOT ON JACK<br/> 7-WAY RV CONNECTOR<br/> COMPLETE BREAKAWAY SYSTEM WITH CHARGER<br/> PROTECTED WIRING<br/> 2 TREATED PINE FLOOR<br/> EZ LUBE HUBS<br/> DEXTER BRAND AXLES<br/> NEV-R-ADJUST ELECTRIC BRAKES<br/> CAMBERED AXLES<br/> MULTI-LEAF SPRING W/ EQUALIZER<br/> RADIAL TIRES ST205/75R15 LOAD RANGE C<br/> 15 X 5 BLACK MOD 5 ON 5 LUG WHEEL<br/> L.E.D. LIGHTING PACKAGE<br/> GROMMET MOUNT SEALED LIGHTING<br/> STEEL IS CLEANED TO ENSURE A PROFESSIONAL SMOOTH FINISH<br/> SUPERIOR QUALITY IS APPLIED FOR A HIGHLY DECORATIVE AND PROTECTIVE FINISH<br/><br/> CASH CHECK OR FINANCED PRICE<br/> FINANCING AVAILABLE TO THOSE WHO QUALIFY<BR/> NOT RESPONSIBLE FOR TYPOGRAPHICAL ERRORS<BR/>","14.00 ft","6.40 ft","","1400.00","6000.00","","4600","","","","2","","","","2-5/16","","","","","","","","","","Black","","","","","","","","","","","","","","0","","","No","No","2022-08-10T23:40:27-05:00","0","5","http://dealer-cdn.com/yWOEQR/ztoRxA/9ff1e74e8624660b79533cc06a2c5b93,http://dealer-cdn.com/yWOEQR/AtHiRU/104efaf72d91b072082dfd236caee241,http://dealer-cdn.com/yWOEQR/6mx7tg/39dc0ae5bbcac5d210538a8f7176e088,http://dealer-cdn.com/yWOEQR/U2dnXM/5f6e520b0d22fa61be9dbc138e0da047,http://dealer-cdn.com/yWOEQR/YS82JU/430072e5793c1ec42f23397e36b6f856"
"TH24783","Yes","trailer.utility","Available","2022","H and H Trailer","H8214SHATV-030","","2022 H and H Trailer H8214SHATV-030 Utility Trailer","$3572.00","$3250.00","$0.00","$0.00","$4208.10","5JWU11412NR555617","New","US","CO","Parker","80134","3038414910","ATV TRAILER H&H* <br/> - A-FRAME POSI-LOCK COUPLER WITH DUAL SAFETY CHAIN & HOOKS- DOT APPROVED<br/> - 2 COUPLER<br/> - 2000lb RATED SWIVEL-UP JACK WITH FOOT<br/> - SEALED WIRING HARNESS<br/> - 4-PRONG FLAT PLUG<br/> - 4 CHANNEL STEEL TONGUE <br/> - 8.5 WIDE MODELS: HAVE 3X4X1/4 ANGLE STEEL FRAME<br/> - ANGLE STEEL CROSSMEMBERS<br/> - RADIUS FENDERS <br/> - ST205-75R15 C RATED 6-PLY RADIALS ON 15 BLACK STEEL MODS 5 ON 4.5 BOLT PATTERN<br/> - (1) 3500lb SPRING IDLER AXLE WITH EZ LUBE HUBS - -2900lb GVWR<br/> - TUBE STEEL MAIN TRUSS RAMP GATE / FOLD FORWARD STORAGE / GRAB HANDLE- 2000lb LOAD RATING<br/> - 2) 5 ATV RAMP SIDE CONVERSION (3075 lb. Load Rating)<br/> - 2x 2 TUBE STEEL TOP RAIL<br/> - 50 SPRING ASSISTED GATE WITH GRAB HANDLE (2500 lb Rated) <br/> - STEEL ANGLE FRAME AND CROSSMEMBERS<br/> - SET-BACK JACK<br/> - TREAD PLATE FENDERS<br/> - 2x8 TREATED #1 GRADE WOOD DECK<br/> - TAKE POCKETS<br/> - SPARE TIRE MOUNT<br/> - FULL LED DOT COMPLIANT LIGHTING<br/> - BLACK POWDER COATING STANDARD<br/> - 3-YEAR WARRANTY<br/> - CASH CHECK OR FINANCED PRICE<br/> - FINANCING AVAILABLE FOR THOSE WHO QUALIFY<BR/> - NOT RESPONSIBLE FOR TYPOGRAPHICAL ERRORS<BR/>","14.00 ft","6.80 ft","","1410.00","2990.00","","1580","","","","1","","","","2","","","","","","","","","","Black","","","","","","","","","","","","","","0","","","Yes","No","2021-10-29T02:00:40-05:00","0","7","http://dealer-cdn.com/yWOEQR/Q7ElV2/3342ad86758762f58a0a8f80a5a06c19,http://dealer-cdn.com/yWOEQR/rkiMBU/1980419af2516a5b7d4ef468a301ab97,http://dealer-cdn.com/yWOEQR/WvBULw/2de6a361114008d20b2718b4ae1f335a,http://dealer-cdn.com/yWOEQR/ToYSCu/f407004d61019e67f420165cbf183bc0,http://dealer-cdn.com/yWOEQR/BIqiLQ/f08c97e46b763e6ed5b95451ed2ee27f,http://dealer-cdn.com/yWOEQR/UvzZtw/937db727c83e7f77bd7ce97ccf53f1a9,http://dealer-cdn.com/yWOEQR/ItswVM/dcacab9361f735745d79cf0441377b58"
"TH24784","Yes","trailer.utility","Available","2022","H and H Trailer","H8214SHATV-030","","2022 H and H Trailer H8214SHATV-030 Utility Trailer","$3572.00","$3250.00","$0.00","$0.00","$4298.92","5JWU11414NR555618","New","US","CO","Parker","80134","3038414910","ATV TRAILER H&H* <br/> - A-FRAME POSI-LOCK COUPLER WITH DUAL SAFETY CHAIN & HOOKS- DOT APPROVED<br/> - 2 COUPLER<br/> - 2000lb RATED SWIVEL-UP JACK WITH FOOT<br/> - SEALED WIRING HARNESS<br/> - 4-PRONG FLAT PLUG<br/> - 4 CHANNEL STEEL TONGUE <br/> - 8.5 WIDE MODELS: HAVE 3X4X1/4 ANGLE STEEL FRAME<br/> - ANGLE STEEL CROSSMEMBERS<br/> - RADIUS FENDERS <br/> - ST205-75R15 C RATED 6-PLY RADIALS ON 15 BLACK STEEL MODS 5 ON 4.5 BOLT PATTERN<br/> - (1) 3500lb SPRING IDLER AXLE WITH EZ LUBE HUBS - -2900lb GVWR<br/> - TUBE STEEL MAIN TRUSS RAMP GATE / FOLD FORWARD STORAGE / GRAB HANDLE- 2000lb LOAD RATING<br/> - 2) 5 ATV RAMP SIDE CONVERSION (3075 lb. Load Rating)<br/> - 2x 2 TUBE STEEL TOP RAIL<br/> - 50 SPRING ASSISTED GATE WITH GRAB HANDLE (2500 lb Rated) <br/> - STEEL ANGLE FRAME AND CROSSMEMBERS<br/> - SET-BACK JACK<br/> - TREAD PLATE FENDERS<br/> - 2x8 TREATED #1 GRADE WOOD DECK<br/> - TAKE POCKETS<br/> - SPARE TIRE MOUNT<br/> - FULL LED DOT COMPLIANT LIGHTING<br/> - BLACK POWDER COATING STANDARD<br/> - 3-YEAR WARRANTY<br/> - CASH CHECK OR FINANCED PRICE<br/> - FINANCING AVAILABLE FOR THOSE WHO QUALIFY<BR/> - NOT RESPONSIBLE FOR TYPOGRAPHICAL ERRORS<BR/>","14.00 ft","6.80 ft","","1410.00","2990.00","","1580","","","","1","","","","2","","","","","","","","","","Black","","","","","","","","","","","","","","0","","","Yes","No","2021-10-29T02:00:40-05:00","0","7","http://dealer-cdn.com/yWOEQR/KwuRDE/75259e6334f53733696f4248aaf188f5,http://dealer-cdn.com/yWOEQR/npsWPI/29d4c8af6f15afa1cd2f5ffcbcc14491,http://dealer-cdn.com/yWOEQR/pC2aTQ/2f32ef90ce8b913ddeaa266403fab921,http://dealer-cdn.com/yWOEQR/rFLgJM/a3fcacff5f797beaaa2679fc351afb0c,http://dealer-cdn.com/yWOEQR/sXOYzY/ea21fec42a5169254ba636f09aadf54c,http://dealer-cdn.com/yWOEQR/sniUyG/a2419a9cd6186f6c1e825e5888f9f9cc,http://dealer-cdn.com/yWOEQR/hZZGT2/6f8a43daac4a9b84dd00b116d3c130e6"
"TH24785","Yes","trailer.utility","Available","2022","H and H Trailer","H8214SHATV-030","","2022 H and H Trailer H8214SHATV-030 Utility Trailer","$3572.00","$3250.00","$0.00","$0.00","$4298.92","5JWU11416NR555619","New","US","CO","Parker","80134","3038414910","ATV TRAILER H&H* <br/> - A-FRAME POSI-LOCK COUPLER WITH DUAL SAFETY CHAIN & HOOKS- DOT APPROVED<br/> - 2 COUPLER<br/> - 2000lb RATED SWIVEL-UP JACK WITH FOOT<br/> - SEALED WIRING HARNESS<br/> - 4-PRONG FLAT PLUG<br/> - 4 CHANNEL STEEL TONGUE <br/> - 8.5 WIDE MODELS: HAVE 3X4X1/4 ANGLE STEEL FRAME<br/> - ANGLE STEEL CROSSMEMBERS<br/> - RADIUS FENDERS <br/> - ST205-75R15 C RATED 6-PLY RADIALS ON 15 BLACK STEEL MODS 5 ON 4.5 BOLT PATTERN<br/> - (1) 3500lb SPRING IDLER AXLE WITH EZ LUBE HUBS - -2900lb GVWR<br/> - TUBE STEEL MAIN TRUSS RAMP GATE / FOLD FORWARD STORAGE / GRAB HANDLE- 2000lb LOAD RATING<br/> - 2) 5 ATV RAMP SIDE CONVERSION (3075 lb. Load Rating)<br/> - 2x 2 TUBE STEEL TOP RAIL<br/> - 50 SPRING ASSISTED GATE WITH GRAB HANDLE (2500 lb Rated) <br/> - STEEL ANGLE FRAME AND CROSSMEMBERS<br/> - SET-BACK JACK<br/> - TREAD PLATE FENDERS<br/> - 2x8 TREATED #1 GRADE WOOD DECK<br/> - TAKE POCKETS<br/> - SPARE TIRE MOUNT<br/> - FULL LED DOT COMPLIANT LIGHTING<br/> - BLACK POWDER COATING STANDARD<br/> - 3-YEAR WARRANTY<br/> - CASH CHECK OR FINANCED PRICE<br/> - FINANCING AVAILABLE FOR THOSE WHO QUALIFY<BR/> - NOT RESPONSIBLE FOR TYPOGRAPHICAL ERRORS<BR/>","14.00 ft","6.80 ft","","1410.00","2990.00","","1580","","","","1","","","","2","","","","","","","","","","Black","","","","","","","","","","","","","","0","","","Yes","No","2021-10-29T02:00:40-05:00","0","7","http://dealer-cdn.com/yWOEQR/RUdpGC/27d611799f9c861d97c20dcf6db82698,http://dealer-cdn.com/yWOEQR/j7w57w/5e1bd07da64f22563ae2ad0de02733bc,http://dealer-cdn.com/yWOEQR/eSpd9E/dc7b0a513f7d016d927f221c3d6c64f2,http://dealer-cdn.com/yWOEQR/8rOcFs/336021703b8d602d3ff7cba374981c0a,http://dealer-cdn.com/yWOEQR/IDRuYi/14731ccb64703d3ede834adaf431e038,http://dealer-cdn.com/yWOEQR/zJM5w0/4fb49258dfbc8051ee03b63cd63bd3df,http://dealer-cdn.com/yWOEQR/EadbXc/d604ec69070f34379945f6cd65785b30"
"TH24787","Yes","trailer.utility","Available","2022","H and H Trailer","H8214SHATV-030","","2022 H and H Trailer H8214SHATV-030 Utility Trailer","$3572.00","$3250.00","$0.00","$0.00","$4298.92","5JWU11414NR555621","New","US","CO","Parker","80134","3038414910","ATV TRAILER H&H* <br/> - A-FRAME POSI-LOCK COUPLER WITH DUAL SAFETY CHAIN & HOOKS- DOT APPROVED<br/> - 2 COUPLER<br/> - 2000lb RATED SWIVEL-UP JACK WITH FOOT<br/> - SEALED WIRING HARNESS<br/> - 4-PRONG FLAT PLUG<br/> - 4 CHANNEL STEEL TONGUE <br/> - 8.5 WIDE MODELS: HAVE 3X4X1/4 ANGLE STEEL FRAME<br/> - ANGLE STEEL CROSSMEMBERS<br/> - RADIUS FENDERS <br/> - ST205-75R15 C RATED 6-PLY RADIALS ON 15 BLACK STEEL MODS 5 ON 4.5 BOLT PATTERN<br/> - (1) 3500lb SPRING IDLER AXLE WITH EZ LUBE HUBS - -2900lb GVWR<br/> - TUBE STEEL MAIN TRUSS RAMP GATE / FOLD FORWARD STORAGE / GRAB HANDLE- 2000lb LOAD RATING<br/> - 2) 5 ATV RAMP SIDE CONVERSION (3075 lb. Load Rating)<br/> - 2x 2 TUBE STEEL TOP RAIL<br/> - 50 SPRING ASSISTED GATE WITH GRAB HANDLE (2500 lb Rated) <br/> - STEEL ANGLE FRAME AND CROSSMEMBERS<br/> - SET-BACK JACK<br/> - TREAD PLATE FENDERS<br/> - 2x8 TREATED #1 GRADE WOOD DECK<br/> - TAKE POCKETS<br/> - SPARE TIRE MOUNT<br/> - FULL LED DOT COMPLIANT LIGHTING<br/> - BLACK POWDER COATING STANDARD<br/> - 3-YEAR WARRANTY<br/> - CASH CHECK OR FINANCED PRICE<br/> - FINANCING AVAILABLE FOR THOSE WHO QUALIFY<BR/> - NOT RESPONSIBLE FOR TYPOGRAPHICAL ERRORS<BR/>","14.00 ft","6.80 ft","","1410.00","2990.00","","1580","","","","1","","","","2","","","","","","","","","","Black","","","","","","","","","","","","","","0","","","Yes","No","2021-10-29T02:00:41-05:00","0","7","http://dealer-cdn.com/yWOEQR/n436zQ/a524f9d5ae011b354c5c5dbeaf36c626,http://dealer-cdn.com/yWOEQR/NqA7qy/c7d6c4d000fe991151c69a4e2d2aa8f3,http://dealer-cdn.com/yWOEQR/iHQI40/9eae4b3d896008d9ee7d1e8e0275a93e,http://dealer-cdn.com/yWOEQR/11a98S/88b5bf71d8466a1458a947782f22c024,http://dealer-cdn.com/yWOEQR/Nb5BZI/36c64e27ce7d5a932b304b458b148cd0,http://dealer-cdn.com/yWOEQR/Y11cRM/c7bab9c369ecd32b2baf7592cf0ea219,http://dealer-cdn.com/yWOEQR/NAR9zk/ac6c26e397b38102d7afcdf5286adce9"
"TH24788","Yes","trailer.utility","Available","2022","H and H Trailer","H8214SHATV-030","","2022 H and H Trailer H8214SHATV-030 Utility Trailer","$3572.00","$3250.00","$0.00","$0.00","$4298.92","5JWU11416NR555622","New","US","CO","Parker","80134","3038414910","ATV TRAILER H&H* <br/> - A-FRAME POSI-LOCK COUPLER WITH DUAL SAFETY CHAIN & HOOKS- DOT APPROVED<br/> - 2 COUPLER<br/> - 2000lb RATED SWIVEL-UP JACK WITH FOOT<br/> - SEALED WIRING HARNESS<br/> - 4-PRONG FLAT PLUG<br/> - 4 CHANNEL STEEL TONGUE <br/> - 8.5 WIDE MODELS: HAVE 3X4X1/4 ANGLE STEEL FRAME<br/> - ANGLE STEEL CROSSMEMBERS<br/> - RADIUS FENDERS <br/> - ST205-75R15 C RATED 6-PLY RADIALS ON 15 BLACK STEEL MODS 5 ON 4.5 BOLT PATTERN<br/> - (1) 3500lb SPRING IDLER AXLE WITH EZ LUBE HUBS - -2900lb GVWR<br/> - TUBE STEEL MAIN TRUSS RAMP GATE / FOLD FORWARD STORAGE / GRAB HANDLE- 2000lb LOAD RATING<br/> - 2) 5 ATV RAMP SIDE CONVERSION (3075 lb. Load Rating)<br/> - 2x 2 TUBE STEEL TOP RAIL<br/> - 50 SPRING ASSISTED GATE WITH GRAB HANDLE (2500 lb Rated) <br/> - STEEL ANGLE FRAME AND CROSSMEMBERS<br/> - SET-BACK JACK<br/> - TREAD PLATE FENDERS<br/> - 2x8 TREATED #1 GRADE WOOD DECK<br/> - TAKE POCKETS<br/> - SPARE TIRE MOUNT<br/> - FULL LED DOT COMPLIANT LIGHTING<br/> - BLACK POWDER COATING STANDARD<br/> - 3-YEAR WARRANTY<br/> - CASH CHECK OR FINANCED PRICE<br/> - FINANCING AVAILABLE FOR THOSE WHO QUALIFY<BR/> - NOT RESPONSIBLE FOR TYPOGRAPHICAL ERRORS<BR/>","14.00 ft","6.80 ft","","1410.00","2990.00","","1580","","","","1","","","","2","","","","","","","","","","Black","","","","","","","","","","","","","","0","","","Yes","No","2021-10-29T02:00:41-05:00","0","7","http://dealer-cdn.com/yWOEQR/ZirnZA/74af811cd29c1d2bd219f019e8f18913,http://dealer-cdn.com/yWOEQR/doNn72/c863a50333d88d47971784fcdf0caaef,http://dealer-cdn.com/yWOEQR/TcoIhU/0106f85dab67cb046e6921dae352ada7,http://dealer-cdn.com/yWOEQR/wIIRDU/e7da4f441d463ba77907e82efb310088,http://dealer-cdn.com/yWOEQR/XSxkpc/c3289c87b9a51d6d6d1a7f1881a2ccea,http://dealer-cdn.com/yWOEQR/SN2D3o/2a8a98ad56862f389fc0ac8ac4e38663,http://dealer-cdn.com/yWOEQR/GAqoXw/eeeb1074de5ea568980975cbeec2c348"
"TM24909","Yes","trailer.utility","Available","2022","Aluma","8114WD-S-R-BT-SR","","2022 Aluma 8114WD-S-R-BT-SR Utility Trailer","$4499.00","$0.00","$0.00","$0.00","$6351.04","1YG811213NB232973","New","US","CO","Parker","80134","3038414910","ALUMA 8114WD DRIVE ON DRIVE OFF SLED/ATV/SxS TRAILER*<BR/> STANDARD FEATURES<BR/> - COMBO SALT SHIELD<BR/> - 2 COUPLER<BR/> - A-FRAMED ALUMINUM TONGUE 48 LONG<BR/> - SAFETY CHAINS<BR/> - SWIVEL TONGUE JACK (1200LB CAPACITY)<BR/> - (2)69X12 FRONT SIDE RAMPS 12 SOLID SIDE ON BALANCE OF THE TRAILER<BR/> - 3500LB RUBBER TORSION AXLE<BR/> - NO BRAKES<BR/> - EASY LUBE HUBS<BR/> - STEEL WHEELS 5-4.5 BHP<BR/> - ALUMINUM FENDERS<BR/> - 2X8 #1 GRADE PRESSURE TREATED FLOOR<BR/> - (8) TIE DOWN LOOPS<BR/> - LED LIGHTING PACKAGE<BR/> - CASH CHECK OR FINANCED PRICE<BR/> - FINANCING AVAILABLE FOR THOSE WHO QUALIFY<BR/> - NOT RESPONSIBLE FOR TYPOGRAPHICAL ERRORS<BR/>","14.00 ft","6.75 ft","","1213.00","2990.00","","1777","","","","1","","","","2","","","","","","","","","","Silver","","","","","","","","","","","","","","0","","","No","No","2021-12-21T23:53:31-06:00","0","8","http://dealer-cdn.com/yWOEQR/wg8k8u/9d14da353ef0dc188447875e6a253fc4,http://dealer-cdn.com/yWOEQR/QIJ7ZY/a34fa32c0cfbbe7234f3c4276e26e6d7,http://dealer-cdn.com/yWOEQR/ysfnhw/ad7ebef55166c3e66487c1ce438bf2fc,http://dealer-cdn.com/yWOEQR/08EMls/69863360f6549a66ef4d3a5992219758,http://dealer-cdn.com/yWOEQR/TYGicS/a2933d79f47c2d029ae7916fae7f8133,http://dealer-cdn.com/yWOEQR/agVlGy/bfc34d8e926777fbbf4f082168be67b7,http://dealer-cdn.com/yWOEQR/XqwrK4/9b4792b2fd8b792bac18cde58d0e5c4b,http://dealer-cdn.com/yWOEQR/ba98lc/bf2d95633f3e27b195a64eb4e630919e"
"TM24910","Yes","trailer.utility","Available","2022","Aluma","8114WD-S-R-BT-SR","","2022 Aluma 8114WD-S-R-BT-SR Utility Trailer","$4499.00","$3999.00","$0.00","$0.00","$6351.04","1YG811215NB232974","New","US","CO","Parker","80134","3038414910","ALUMA 8114WD DRIVE ON DRIVE OFF SLED/ATV/SxS TRAILER* \nSTANDARD FEATURES \n COMBO SALT SHIELD \n 2 COUPLER \n A-FRAMED ALUMINUM TONGUE 48 LONG \n SAFETY CHAINS \n SWIVEL TONGUE JACK (1200LB CAPACITY) \n (2)69X12 FRONT SIDE RAMPS 12 SOLID SIDE ON BALANCE OF THE TRAILER \n 3500LB RUBBER TORSION AXLE \n NO BRAKES \n EASY LUBE HUBS \n STEEL WHEELS 5-4.5 BHP \n ALUMINUM FENDERS \n 2X8 #1 GRADE PRESSURE TREATED FLOOR \n (8) TIE DOWN LOOPS \n LED LIGHTING PACKAGE \n CASH CHECK OR FINANCED PRICE \n FINANCING AVAILABLE FOR THOSE WHO QUALIFY \n NOT RESPONSIBLE FOR TYPOGRAPHICAL ERRORS","14.00 ft","6.70 ft","","1213.00","2990.00","","1777","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","No","2021-12-21T23:53:31-06:00","0","7","http://dealer-cdn.com/yWOEQR/BRLa3E/d9b931bd38b4978147e9ffc812932136,http://dealer-cdn.com/yWOEQR/QAV9Um/474e78dfe28887f978aeadd5a9c8e33f,http://dealer-cdn.com/yWOEQR/RNiqxs/3464e5916b6571cd32026d2cfe569162,http://dealer-cdn.com/yWOEQR/rJbfGK/ca7e8297e9c5048a72daa77e40c6876b,http://dealer-cdn.com/yWOEQR/YFVA4e/b26deb9c3f93a43b7e4c0975538f25c2,http://dealer-cdn.com/yWOEQR/goRqsK/449bd6c74063a0bd6c1e2626d10c2d7a,http://dealer-cdn.com/yWOEQR/1HTgQ4/81d145221db70dcb2e12fbe835cf587e"
"TM24958","Yes","trailer.utility","Available","2023","Aluma","8612D-TILT-S-13SL","","2023 Aluma 8612D-TILT-S-13SL Utility Trailer","$4995.00","$0.00","$0.00","$0.00","$5863.44","1YGSD1213PB247909","New","US","CO","Parker","80134","3038414910","8612D-TILT-S-13SL SNOWMOBILE TRAILER*<BR/> - 2200# Rubber torsion axle - No brakes - Easy lube hubs<BR/> - ST145/R12 LRD tires (1220# cap/tire) 5 on 4.5 bolt pattern<BR/> - 12 Steel wheels<BR/> - Heavy-duty A-framed tongue with 2 zinc plated coupler<BR/> - Combination Salt Shield & drive-off ramp<BR/> - 5/8 Treated marine tech plywood floor<BR/> - 2) Ski hold-down bars with plastic sleeves<BR/> - LED Light package seal beam lights and wiring harness<BR/> - Hydraulic tilt dampener<BR/> - Safety chains<BR/> - Swivel tongue jack 1200# capacity<BR/> - CASH CHECK OR FINANCED PRICE<BR/> - FINANCING AVAILABLE TO THOSE WHO QUALIFY<BR/> - NOT RESPONSIBLE FOR TYPOGRAPHICAL ERRORS<BR/>","12.00 ft","7.20 ft","","650.00","2200.00","","1550","","","","1","","","","2","","","","","","","","","","Silver","","","","","","","","","","","","","","0","","","No","No","2022-01-12T01:03:52-06:00","0","8","http://dealer-cdn.com/yWOEQR/5jfNyq/623042a332310aa16271b6d6f1e55637,http://dealer-cdn.com/yWOEQR/0DuLNA/bc58c4ff806fbc7098b7168ea9b9a9d3,http://dealer-cdn.com/yWOEQR/pukPSa/4b3c6d20e5ff41e24ae2861a0c1ef67a,http://dealer-cdn.com/yWOEQR/kVEXiK/4576ef8bb65e25e3ea8243936a981fb3,http://dealer-cdn.com/yWOEQR/LxUzOS/ed978a62b4fab6c84a1d88da08c4eeb0,http://dealer-cdn.com/yWOEQR/46yBaS/7cf8f22d54b1b3df101f60cc05d88306,http://dealer-cdn.com/yWOEQR/YQHv16/ba88552563cf7c0728d1c270701f3733,http://dealer-cdn.com/yWOEQR/pLQRxg/47e20920facfcf3f7bc4010e98d8e923"
"TB25026","Yes","trailer.flatbed","Available","2022","Big Tex Trailers","14FT-20BK","","2022 Big Tex Trailers 14FT-20BK Flatbed Trailer","$10995.00","$9295.00","$0.00","$0.00","$12367.10","16V1C2523N2108145","New","US","CO","Parker","80134","3038414910","14FT Heavy Duty Full Tilt Bed Equipment*<br/> MADE IN THE U.S.A.<BR/> STANDARD FEATURES<br/> The 14FT from Big Tex is a durable full-tilt deck trailer perfect for hauling medium-duty low-profile equipment. This trailer comes standard with an adjustable coupler LED lights and treated floor.<br/> - Adjustable 2-5/16 14000# Cast Coupler<br/> - Fold Back/Wrap Tongue w/ Raised Coupler<br/> - Complete Break-A-Way System w/Charger<br/> - Sealed Modular Wiring Harness 7-Way<br/> - 12000# Drop Leg Jack- Side Wind Against Bed<br/> - Hydraulic Dampening System<br/> - Spare Tire Mount (Front) <br/> - Tilt Platform is 75 Wide<br/> - 2 Treated Pine Floor or Douglas Fir<br/> - Unique Two Piece Main Frame<br/> - Rub rail and Tie Down Pockets Along Sides<br/> - Radial Tires ST235/80R16 Load Range E<br/> - 16x 6 Heavy Black Mod 8 Lug<br/> - EZ Lube Hubs<br/> - Nev-R-Adjust Electric Brakes on All Hubs<br/> - Cambered 4 Drop Axles<br/> - Dexter Brand Axles<br/> - Multi-Leaf Slipper Spring w/ Equalizer<br/> - 14 Gauge Double Broke Diamond Plate Fenders (Removable) <br/> - Grommet Mount Sealed Lighting<br/> - L.E.D. Lighting Package<br/> - 1/4 Diamond Plate Knife Edge on Rear<br/> - CASH CHECK OR FINANCED PRICE<br/> - FINANCING AVAILABLE TO THOSE WHO QUALIFY<BR/> - NOT RESPONSIBLE FOR TYPOGRAPHICAL ERRORS<BR/>","20.00 ft","6.70 ft","","3490.00","14000.00","","10510","","","","2","","","","2-5/16","","","","","","","","","","Black","","","","","","","","","","","","","","0","","","No","No","2022-01-20T01:01:12-06:00","0","7","http://dealer-cdn.com/yWOEQR/MBPKlc/0b9f23a03f762c83c6b124519c3cb1e9,http://dealer-cdn.com/yWOEQR/wghwP2/85cea8cb19056c025cc8bf1a1190f11c,http://dealer-cdn.com/yWOEQR/myEKp6/63762ac2fc9b3f28e2b7c352fbcab8d0,http://dealer-cdn.com/yWOEQR/lPrWAC/f4709bd9c611c036122671ffa00d90f5,http://dealer-cdn.com/yWOEQR/xzK1LM/16413e0dd9b222f04057c7cca2697b92,http://dealer-cdn.com/yWOEQR/kxlEHo/e366f641f963d8b977c7b7c5a44f7b05,http://dealer-cdn.com/yWOEQR/r67iaG/28d21933174401562cd0013c5c9eff84"
